Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
ГРОМАДА,Острозька районна організація,Рівненська обл.,25315325,"Рівненська обл., м. Острог, просп. Незалежності, 135","Рівненська обл., м. Острог, просп. Незалежності, 135",
ГРОМАДА,Рівненська обласна організація,Рівненська обл.,24178211,"Рівненська обл., м. Рівне, вул. Кавказька, 7","Рівненська обл., м. Рівне, вул. Кавказька, 7",
ГРОМАДА,Лебединська міська організація,Сумська обл.,24008800,"Сумська обл.,  Сумський р-н, вул. Сумська, 12","Сумська обл.,  Сумський р-н, вул. Сумська, 12",
ГРОМАДА,Лебединська районна організація,Сумська обл.,24008940,"Сумська обл.,  Сумський р-н, вул. Сумська, 12","Сумська обл.,  Сумський р-н, вул. Сумська, 12",
ГРОМАДА,Роменська міськрайонна організація,Сумська обл.,24008911,"Сумська обл.,  Роменський р-н, вул. Западинська, 24","Сумська обл.,  Роменський р-н, вул. Западинська, 24",
ГРОМАДА,Київська районна організація,Полтавська обл.,25717360,"Полтавська обл., м. Полтава, просп. Першотравневий, 19","Полтавська обл., м. Полтава, просп. Першотравневий, 19",
ГРОМАДА,Новосанжарська районна організація,Полтавська обл.,25732170,"Полтавська обл.,  Полтавський р-н, пров. Курортний, 9","Полтавська обл.,  Полтавський р-н, пров. Курортний, 9",
ГРОМАДА,Гадяцька районна організація,Полтавська обл.,25170080,"Полтавська обл.,  Миргородський р-н, вул. Степаненка, 4","Полтавська обл.,  Миргородський р-н, вул. Степаненка, 4",
ГРОМАДА,Диканська районна організація,Полтавська обл.,25732129,"Полтавська обл.,  Полтавський р-н, вул. Миру, 81","Полтавська обл.,  Полтавський р-н, вул. Миру, 81",
ГРОМАДА,Полтавська міська організація,Полтавська обл.,25732951,"Полтавська обл., м. Полтава, просп. Першотравневий, 19","Полтавська обл., м. Полтава, просп. Першотравневий, 19",
ГРОМАДА,Чутівська районна організація,Полтавська обл.,25732218,"Полтавська обл.,  Полтавський р-н, вул. Лугова, 3","Полтавська обл.,  Полтавський р-н, вул. Лугова, 3",
ГРОМАДА,Шевченківська районна організація,Полтавська обл.,25717383,"Полтавська обл., м. Полтава, просп. Першотравневий, 19","Полтавська обл., м. Полтава, просп. Першотравневий, 19",
ГРОМАДА,Подільська районна організація,Полтавська обл.,25717377,"Полтавська обл., м. Полтава, просп. Першотравневий, 19","Полтавська обл., м. Полтава, просп. Першотравневий, 19",
ГРОМАДА,Первомайська міськрайонна організація,Миколаївська обл.,25382632,"Миколаївська обл.,  Первомайський р-н, вул. Театральна, 9","Миколаївська обл.,  Первомайський р-н, вул. Театральна, 9",
ГРОМАДА,Березанська районна організація,Миколаївська обл.,23405426,"Миколаївська обл.,  Миколаївський р-н, вул. Донцова Дмитра, 1б","Миколаївська обл.,  Миколаївський р-н, вул. Донцова Дмитра, 1б",
ГРОМАДА,Кривоозерська районна організація,Миколаївська обл.,23625760,"Миколаївська обл.,  Первомайський р-н, вул. Калантирська, 19","Миколаївська обл.,  Первомайський р-н, вул. Калантирська, 19",
