"Партія","Місцева організація","Географічний обʼєкт","Ідентифікаційний код юридичної особи за ЄДРПОУ","Місцезнаходження","Фактичне місцезнаходження","Реквізити банків, у яких відкрито рахунки"
"Українське обʼєднання патріотів – УКРОП","Кіровоградська обласна регіональна парторганізація політичної партії ""Українське об'єднання патріотів - УКРОП""","Кіровоградська область","39922803","Кіровоградська обл., м. Кропивницький, вул. Пашутінська, буд. 31","Кіровоградська обл., м. Кропивницький, вул. Пашутінська, буд. 31","ПАТ КБ ""Приватбанк"", МФО 323583 р/р 26009052911811"
"Українське обʼєднання патріотів – УКРОП","Луганська обласна регіональна парторганізація політичної партії ""Українське об'єднання патріотів - УКРОП""","Луганська область","39965606","Луганська обл., Старобільський р-н, м. Старобільськ, вул. НЕКРАСОВА, буд. 9","Луганська обл., Старобільський р-н, м. Старобільськ, вул. Трудова, буд. 12А","ПАТ КБ ""Приватбанк"", МФО 304795 р/р 26007053718459"
"Українське обʼєднання патріотів – УКРОП","Львівська обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Львівська область","39923503","Львівська обл., м. Львів, пр-т. Свободи, буд. 24, кв. 8","Львівська обл., м. Львів, вул. Січових Стрільців, буд. 5, кв. 4а","ПАТ КБ ""Приватбанк"", МФО 325321 р/р 26001053838223"
"Українське обʼєднання патріотів – УКРОП","Миколаївська обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Миколаївська область","39953669","м. Миколаїв, вул. Лягіна, буд. 26А/3","м. Миколаїв, вул. Лягіна, буд. 26А/3","ПАТ КБ ""Приватбанк"", МФО 326610 р/р 26001053221497"
"Українське обʼєднання патріотів – УКРОП","Одеська обласна парторганізація політичної партії ""Українське об'єднання патріотів - УКРОП""","Одеська область","39994815","Одеська обл., м. Одеса, вул. А. Корольова, буд. 104, к. 3, кв. 65","Одеська обл., м. Одеса, вул. Арнаутська, буд. 31","ПАТ КБ ""Приватбанк"", МФО 328704 р/р 26004054327711"
"Українське обʼєднання патріотів – УКРОП","Полтавська обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Полтавська область","39947896","Полтавська обл., м. Полтава, вул. Пушкіна, буд. 115","Полтавська обл., м. Полтава, вул. Пушкіна, буд. 115","ПАТ КБ ""Приватбанк"", МФО 331401 р/р 26003054616293,"
"Українське обʼєднання патріотів – УКРОП","Рівненська обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Рівненська область","39914504","Рівненська обл., м. Рівне, вул. 16 Липня, буд. 42, кв. 22","Рівненська обл., м. Рівне, вул. 16 Липня, буд. 42, кв. 22","ПАТ КБ ""Приватбанк"", МФО 333391 р/р 26005054719198"
"Українське обʼєднання патріотів – УКРОП","Сумська обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Сумська область","39945637","Сумська обл., м. Суми, вул. Харківська, буд. 5/1","Сумська обл., м. Суми, вул. Харківська, буд. 5/1","ПАТ КБ ""Приватбанк"", МФО 337546 р/р 26000055016685"
"Українське обʼєднання патріотів – УКРОП","Тернопільська обласна регіональна парторганізація політичної партії ""Українське об'єднання патріотів - УКРОП""","Тернопільська область","39943199","Тернопільська обл., м. Тернопіль, вул. Листопадова, буд. 9","Тернопільська обл., м. Тернопіль, вул. Листопадова, буд. 9","ПАТ КБ ""Приватбанк"", МФО 338783 р/р 26002055111187"
"Українське обʼєднання патріотів – УКРОП","Харківська обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Харківська область","39973329","Харківська обл., Харківський р-н, смт Коротич, вул. Піонерська, буд. 44","Харківська обл., м. Харків, вул. Сумська, буд. 73 оф. 31","ПАТ КБ ""Приватбанк"", МФО 351533 р/р 26001052207545,"
"Українське обʼєднання патріотів – УКРОП","Херсонська обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Херсонська область","39904145","Херсонська обл., м. Херсон, вул. Торгова, буд. 37, оф. 100","Херсонська обл., м. Херсон, вул. Торгова, буд. 37, оф. 100","ПАТ КБ ""Приватбанк"", МФО 352479 р/р 26007052206397"
"Українське обʼєднання патріотів – УКРОП","Хмельницька обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Хмельницька область","39933490","м. Хмельницький, вул. Шевченка, буд. 46/2, кв. 2","м. Хмельницький, вул. Шевченка, буд. 46/2, кв. 2","ПАТ КБ ""Приватбанк"", МФО 315405 р/р 26001052423138"
"Українське обʼєднання патріотів – УКРОП","Черкаська обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Черкаська область","39945181","Черкаська обл., м. Черкаси, вул. ГОГОЛЯ, буд. 350, кв. 23","м. Черкаси, вул. Шевченка, буд. 150","ПАТ КБ ""Приватбанк"", МФО 354347 р/р 26005051524627"
"Українське обʼєднання патріотів – УКРОП","Чернівецька обласна регіональна парторганізація політичної партії ""Українське об'єднання патріотів - УКРОП""","Чернівецька область","39914462","Чернівецька обл., м. Чернівці, вул. Шиллера, буд. 5","м. Чернівці, вул. Руська 4-Б","ПАТ КБ ""Приватбанк"", МФО 356282 р/р 26007051500149"
"Українське обʼєднання патріотів – УКРОП","Чернігівська обласна організація політичної партії ""Українське об'єднання патріотів - УКРОП""","Чернігівська область","39941035","Чернігівська обл., Ніжинський р-н, село Галиця, вул. ЦЕНТРАЛЬНА, буд. 8Д","Чернігівська обл., м. Чернігів, вул. Шевченка, буд. 112А","ПАТ КБ ""Приватбанк"",МФО 353586, р\р 26005051421611"
