Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Авторське право та суміжні з ним права,Програма для ЕОМ Microsoft Office365 ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.e.doc"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.e.doc"" (Модуль ""Звітність"")",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ПЗ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"M.E.Doc ""Звітність"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Windows 10 Professional x64,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма ""M.E.Doc"" Модуль ""Звітність""/мережева/",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Office 365 Business,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Binotel"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.е.doc"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для EOM Microsoft Office 365 Business ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ПЗ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для EOM Microsoft Office 365 Business ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.E.Doc""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""ВАРТА""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ПЗ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Веб-сайт http://zeknopka.com.ua/,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.e.doc""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Інші нематеріальні права,Доменне ім'я zeknopka.com.ua,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Office 365 Business,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.e.doc""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ПЗ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Ме.Doc"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ПЗ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""М.е.doс"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business ,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""ВАРТА""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"КП ""Програмний комлекс ""ВАРТА""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Microsoft Office 365 Business,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"КП ""M.E.Doc"" Модуль ""M.E.Doc ""Звітність"", мережева версія ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програмна продукція Microsoft office Home and Business,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програмна продукція Microsoft Windows,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""M.e.doc"" ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""Binotel""",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програмне ядро закритої внутрішньої частини інформаційної системи «Корпоративний портал Партії «Слуга Народу» та програмний модуль «CRM. УПРАВЛІННЯ ВІДНОСИНАМИ З ЧЛЕНАМИ ПАРТІЇ «ДЛЯ ІНФОРМАЦІЙНОЇ СИСТЕМИ «КОРПОРАТИВНИЙ ПОРТАЛ ПАРТІІ «СЛУГА НАРОДУ»,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,"Друкований ЗМІ: Газета ""Слуга Народу"" 1,5 ум.друк.арк.(400х289мм), 2 рази на 1 тиждень, мова змішана: укр./рос.(свідцтво про держ.реєстрацію КВ №23171-13911Р)",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Веб-сайт ПП""СЛУГА НАРОДУ ""https://sluga-narodu.com/",СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-617-20-50,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-617-47-25,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-617-49-54,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-617-56-92,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-617-64-83,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-617-64-92,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-617-77-38,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-617-85-17,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-618-10-48,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-618-11-17,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-618-20-80,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-618-23-35,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-618-33-70,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-618-37-46,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 067-618-37-54,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Гаряча лінія волонтерського контакт-центру партії Слуга Народу 0 800 33 96 85,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Гаряча лінія для скарг про порушення виборчого процесу 0 800 330 639,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 063 225 12 90,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 063 225 12 94,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 063 225 12 96,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 063 225 13 21,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 063 225 13 41,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 063 225 13 47,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 063 225 13 50,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 063 225 13 88,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 063 225 13 55,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 063 225 13 62,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 050-301-70-03,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 050-301-70-05,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 050-301-70-26,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 050-301-70-09,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 050-301-70-21,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 050-301-70-16,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 050-301-70-35,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 050-301-70-14,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 050-301-70-18,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 050-301-70-47,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Телефонний номер 050-410-90-93,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Мобільний додаток Фракція «Слуга Народу» для системи iOC,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Мобільний додаток Фракція «Слуга Народу» для системи Андроїд,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Чат-бот ""Партійний"" у мессенджері Telegram ",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Чат-бот «Інформаторка» у месенджері Telegram,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Твір Опис з ілюстраціями «Правила гри «Громада»,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для ЕОМ Платформа для систематизації збору інформації для проведення заходів (івентів),СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для ЕОМ BAS Бухгалтерія версія ПРОФ. К-т на 5 користувачів рег.№803815870 до 21.01.24,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для ЕОМ доступ до онлайн-сервісів ПРОФ і оновлення програмної продукції BAS Бухгалтерія на 12міс.до 17.06.22,СЛУГА НАРОДУ,4,2021
Інші  нематеріальні права,Домен с.к. 1146729 sluga-narodu.biz 24.06.21-25.06.22,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ одноразове підключення 25 організацій BAS ""Конфігурація для НПО"" до 31.07.22",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для ЕОМ Ліцензія на право використання КП Дебет-Кредит. Пакет Профі,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для ЕОМ Доступ до онлайн-сервісіу 7eminar.ua із 01.09.2021 по 31.08.2022,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""М.Е. Dос"" модуль ""Звітність"" 29.01.21-30.01.22",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для ЕОМ ПП Business automation software for document management.CORP№802831332 ,СЛУГА НАРОДУ,4,2021
Інші  нематеріальні права,Домен с.к. 1146725 sluga-narodu.kiev.ua 24.06.21-25.06.22,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для ЕОМ Business automation software PROF. Server License 32 (803700143) до 05.06.22,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для ЕОМ Business automation software. Client License for 20 user PROF (803685229) -05.06.22,СЛУГА НАРОДУ,4,2021
Інші  нематеріальні права,Домен с.к. 1146727 sluga-narodu.net.ua 24.06.21-25.06.22,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для ЕОМ одноразове підключ. доступ до 1 організації конфігурації Бухоблік для НПО 31.07.22,СЛУГА НАРОДУ,4,2021
Інші  нематеріальні права,Домен с.к. 1146733 sluga-narodu.in.ua 24.06.21-25.06.22,СЛУГА НАРОДУ,4,2021
Інші  нематеріальні права,Домен с.к. 1146734 sluga-narodu.kiev.ua 24.06.21-25.06.22,СЛУГА НАРОДУ,4,2021
Інші  нематеріальні права,Домен с.к. 1146737 sluga-naroda.net 24.06.21-25.06.22,СЛУГА НАРОДУ,4,2021
Інші  нематеріальні права,Право використання (продовження) домену с.к. 1146732 sluga-narodu.net 24.06.21-25.06.22,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для ЕОМ Ліцензія на право використ. КП LIGA 360 у компл. LIGA360:Юрист(Преміум Команда) 30.11.22,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для ЕОМ Модуль Зарплата і Управління Персоналом для України №802190990 до 21.01.24,СЛУГА НАРОДУ,4,2021
Інші  нематеріальні права,Домен с.к. 1146723 sluga-narodu.com.ua 24.06.21-25.06.22,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ПЗ ""Система автоматизації HR-процесів та управління талантами Мосо"" 31.01.24",СЛУГА НАРОДУ,4,2021
Інші  нематеріальні права,Домен с.к. 1146735 sluga-narodа.net.ua 24.06.21-25.06.22,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ Ліцензія №Л907/40422142 на вик.Системи YOUCONTROL""ПОВНИЙ ДОСТУП"" 365днів до19.07.22",СЛУГА НАРОДУ,4,2021
Інші  нематеріальні права,Домен с.к. 1146728 sluga-narodu.org.ua 24.06.21-25.06.22,СЛУГА НАРОДУ,4,2021
Інші  нематеріальні права,Домен с.к. 1146731 sluga-narodu.org 24.06.21-25.06.22,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,Програма для ЕОМ Ліцензія на право використання КП LIGA 360 у компл. LIGA360:Юрист (Преміум Команда) 6 р.м. -30.11.22,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" на 2 роки із 01.02.2020 по 31.01.2022 р.р.",СЛУГА НАРОДУ,4,2021
Інші  нематеріальні права,Домен с.к. 1146730 sluga-narodu.com 24.06.21-25.06.22,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ Ліцензія №Л907/40422142 на вик.Системи YOUCONTROL""ДОПОМІЖНЕ АРМ""(365 днів) 19.07.22",СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ ""М.Е. Dос"" модуль ""Електронний документообіг"" із 29.01.21 по 26.01.22",СЛУГА НАРОДУ,4,2021
Інші  нематеріальні права,Домен с.к. 1146736 sluga-naroda.biz 24.06.21-25.06.22,СЛУГА НАРОДУ,4,2021
Авторське право та суміжні з ним права,"Програма для ЕОМ КП ""Програмний комплекс ""Варта"" із 27.11.2021 по 28.11.2023 р. ",СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Хмарний сервер для ведення бухгалтерського обліку № 1,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Хмарний сервер для ведення бухгалтерського обліку № 2,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Хмарний сервер для ведення бухгалтерського обліку № 3,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Хмарний сервер для резервного копіювання,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Віртуальний поштовий сервер mail.sluganarodu.ua,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Віртуальний поштовий сервер mail.sluganarodu.org,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Віртуальний поштовий сервер mail.sluga-narodu.com,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Шлюз для масових поштових розсилок,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Дропбокс підписка (два віртуальних диска),СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Хмарний сервер для 1С Бітрікс,СЛУГА НАРОДУ,4,2021
Інші нематеріальні активи,Хмарний сервер для сховища файлів,СЛУГА НАРОДУ,4,2021
