Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Опозиційний блок,Дзержинська міська організація,Донецька область,39906247,"Донецька обл., м. Дзержинськ, вул. 50 РОКІВ ЖОВТНЯ, буд. 5, кв. 7","Донецька обл., м. Торецьк, вул. 50 РОКІВ ЖОВТНЯ, буд. 5, кв. 7",
Опозиційний блок,Дружківська міська організація,Донецька область,39901343,"Донецька обл., м. Дружківка, вул. ЛЕНІНА, буд. 6","Донецька обл., м. Дружківка, вул. ЛЕНІНА, буд. 6","ПАТ КБ ""Приватбанк"", МФО 335548, рахунок № 26006053607917"
Опозиційний блок,Добропільська міська організація,Донецька область,39906749,"Донецька обл., м. Добропілля, вул. ЗАЛІЗНИЧНА, буд. 1","Донецька обл., м. Добропілля, вул. ЗАЛІЗНИЧНА, буд. 1","ТВБВ №10004/01 Філія - Донецьке обласне управління АТ ""Ощадбанк"", МФО 335106, рахунок № 26001300840022"
Опозиційний блок,Добропільська районна організація,Донецька область,39921658,"Донецька обл., Добропільський р-н, с. Ганнівка, вул. ХОДНЕВИЧА, буд. 10","Донецька обл., Добропільський р-н, с. Г аннівка, вул. ХОДНЕВИЧА, буд. 10","ТВБВ № 10004/01 філії Донецького обласного управління АТ ""Ощадбанк"", МФО 00032129, рахунок № 26009300842743"
Опозиційний блок,Мирноградська міська організація,Донецька область,39951441,"Донецька обл., м. Мирноград, вул. СОБОРНА, буд. 28","Донецька обл., м. Мирноград, вул. СОБОРНА, буд. 28","ПАТ КБ ""Приватбанк"", МФО 335496, рахунки №№ 26006051828075, 26101000163783"
Опозиційний блок,Краматорська міська організація,Донецька область,39898949,"Донецька обл., м. Краматорськ, вул. ДВІРЦЕВА, буд. 43, кв. 39","Донецька обл., м. Краматорськ, вул. ДВІРЦЕВА, буд. 43, кв. 39","ПАТ КБ ""Приватбанк"", МФО 335496, рахунки №№ 26006051828075, 26101000163783"
Опозиційний блок,Краснолиманська міська організація,Донецька область,39912690,"Донецька обл., м. Красний Лиман, вул. СВОБОДИ, буд. 23","Донецька обл., м. Лиман, вул. СВОБОДИ, буд. 23","Філія Донецьке ОУ АТ ""Ощадбанк"", МФО 335106, рахунок № 26007300828305"
Опозиційний блок,Покровська міська організація,Донецька область,39949060,"Донецька обл., м. Покровськ, МІКРОр-н ""ШАХТАРСЬКИЙ"", буд. 23, оф. 10","Донецька обл., м. Покровськ, МІКРОр-н ""ШАХТАРСЬКИЙ"", буд. 23, оф. 10","Філія Донецького ОУ АТ  ""Ощадбанк"", МФО 335106, рахунок № 26005300845391"
Опозиційний блок,Покровська районна організація,Донецька область,39926169,"Донецька обл., м. Покровськ, вул. НОВОСІЛЬСЬКА, буд. 32","Донецька обл., м. Покровськ, вул. НОВОСІЛЬСЬКА, буд. 32","Філія Донецького ОУАТ  ""Ощадбанк"", МФО 300465, рахунок № 26000300844988"
Опозиційний блок,Костянтинівська міська організація,Донецька область,39923697,"Донецька обл., м. Костянтинівка, вул. КИЇВСЬКА, буд. 34","Донецька обл., м. Костянтинівка, вул. КИЇВСЬКА, буд. 34",
Опозиційний блок,Костянтинівська районна організація,Донецька область,39897510,"Донецька обл., Костянтинівський р-н, с. Довга Балка, вул. САДОВА, буд. 29","Донецька обл., Костянтинівський р-н, селище Довга Балка, вул. САДОВА, буд. 29","ПАТ КБ ""Приватбанк"", МФО 335548, рахунок № 26001053607086"
Опозиційний блок,Маріупольська міська організація,Донецька область,39905107,"Донецька обл., м. Маріуполь, вул.  ПАШКОВСЬКОГО, буд. 30, кв. 13","м. Маріуполь, вул. АРТЕМА, буд. 47","Віділення ПУМБ «РЦ в м.  Маріуполь», МФО 334851, рахунок № 2600214189"
Опозиційний блок,Мар’їнська районна організація,Донецька область,39904009,"Донецька обл., Марійський р-н, м. Курахове, вул. ПОБЄДИ, буд. 16, кв. 124","Донецька обл., Марійський р-н, м. Курахове, вул. ПОБЄДИ, буд. 16, кв. 124","ПАТ ТВБВ№ 10004/0551 філія-Донецьке обласне управління АТ ""Ощадбанк"", МФО 300465, рахунок № 26001300831495"
Опозиційний блок,Новогродівська міська організація,Донецька область,39904281,"Донецька обл., м. Новогродівка, вул. О.КОШОВОГО, буд. 16, кв. 2","Донецька обл., м. Новогродівка, вул. О.КОШОВОГО, буд. 16, кв. 2","Філія ""ДРУ ПАТ КБ ""Приоватбанк"", МФО 335496, рахунок № 26009051827534"
Опозиційний блок,Олександрівська районна організація,Донецька область,39908600,"Донецька обл., Олександрівський р-н, смт Олександрівка, вул. І.ФРАНКА, буд. 45","Донецька обл., Олександрівський р-н, смт Олександрівка, вул. І.ФРАНКА, буд. 45","ПАТ КБ  ""ПРИВАТБАНК"", МФО 335548, рахунок № 26006053607531"
Опозиційний блок,Першотравнева районна організація,Донецька область,39929882,"Донецька обл., Першотравневий р-н, смт Мангуш, вул. КРАСНОАРМІЙСЬКА , буд. 22/41, кв. 18","Донецька обл., Мангушський  р-н, смт Мангуш, вул. КРАСНОАРМІЙСЬКА , буд. 22/41, кв. 18","ПАТ ПУМБ, МФО 334851, рахунок 2600115288"
Опозиційний блок,Селидовська міська організація,Донецька область,39910295,"Донецька обл., м. Селидове, вул. ЩОРСА, буд. 7, кв. 6","Донецька обл., м. Селидове, вул. СОНЯЧНА, буд. 7, кв. 6","ПАТ КБ ""Приватбанк"", МФО 335496, рахунок № 26000051830810"
Опозиційний блок,Слов’янська міська організація,Донецька область,39902834,"Донецька обл., м. Слов'янськ, вул. ЛЕНІНА, буд. 58, кв. 18","Донецька обл., м. Слов'янськ, вул. ЛЕНІНА, буд. 58, кв. 18","Харківське ГРУ ПАТ КБ ""Приватбанк"", МФО 351533, рахунок № 26002053609629"
Опозиційний блок,Слов’янська районна організація,Донецька область,39923236,"Донецька обл., м. Слов'янськ, вул. ЖОВТНЕВОЇ РЕВОЛЮЦІЇ, буд. 56, кв. 13","Донецька обл., м. Слов'янськ, вул. ЖОВТНЕВОЇ РЕВОЛЮЦІЇ, буд. 56, кв. 13","Краматорська філія ПАТ КБ «Приватбанк», МФО 335548, рахунок № 26007053606382"
Опозиційний блок,Арбузинська районна організація,Миколаївська область,39850624,"Миколаївська обл., Арбузинський р-н, смт Арбузинка, вул. ШЕВЧЕНКА, буд. 212, кв. 4","Миколаївська обл., Арбузинський р-н, смт Арбузинка, вул. ШЕВЧЕНКА, буд. 212, кв. 4",
Опозиційний блок,Баштанська районна організація,Миколаївська область,39843753,"Миколаївська обл., Баштанський р-н, м. Баштанка, вул. АГЄЄВА, буд. 12","Миколаївська обл., Баштанський р-н, м. Баштанка, вул. АГЄЄВА, буд. 12",
Опозиційний блок,Березанська районна організація,Миколаївська область,39853944,"Миколаївська обл., Березанеький р-н, смт Березанка, вул. СУВОРОВА, буд. 81, кв. 4","Миколаївська обл., Березанський р-н, смт Березанка, вул. СУВОРОВА, буд. 81, кв. 4",
