Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлова будівля,"Хмельницька обл., Хмельницький р-н, м. Волочиськ, вул. Петлюри Симона, буд. 4, нежитлове приміщення 1",39.6,,10.06.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Хмельницька обл., м. Шепетівка, вул. Героїв Небесної Сотні, буд. 55, нежитлове приміщення на першому поверсі",37.2,,13.06.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Волинська обл., м. Володимир-Волинський, вул. Князя Василька, буд. 1, офісне приміщення на першому поверсі",46.3,,01.09.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Волинська обл., м. Камінь-Каширський, вул. Шевченка, буд. 5, нежитлове приміщення №1-4 на другому поверсі",17.8,1787636907214,01.11.2021,0,Оренда,КАМІНЬ-КАШИРСЬКА СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ,01744317,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Волинська обл., м. Ковель, вул. Шевченка Тараса, буд. 2Б/1, нежитлове приміщення №2 на першому поверсі",26.04,,27.01.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Луцьк, вул. Набережна, буд. 4А, нежитлове приміщення 144 на першому поверсі",114.6,,21.03.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Київська обл., Фастівський р-н, м. Фастів, вул. Інтернаціональна, будівля 14, нежитлове приміщення на першому поверсі",55.5,,07.07.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Київська обл., Вишгородський р-н, м. Вишгород, вул. Шолуденка, буд. № 15-Д, нежитлове приміщення №76 на першому поверсі корпус 1",32.8,748215232218,15.07.2021,0,Оренда,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОФРЕНТ""",39962783,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Київська обл., Бориспільський р-н, м. Бориспіль, вул. Київський Шлях, буд. № 69-а, частина нежитлового приміщення",79.45,83132105,13.07.2021,0,Оренда,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БОРИСПІЛЬСКИЙ КОМБІНАТ БУДІВЕЛЬНИХ МАТЕРІАЛІВ""",39072879,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Київська обл., Білоцерківський р-н, м. Біла Церква, вул. Гагаріна, буд. № 15, нежитлове приміщення №2 на першому поверсі",68.0,,08.10.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Київська обл., Обухівський р-н, м. Обухів, вул. Малишка, буд. 3, частина нежитлового приміщення",38.6,,01.12.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Київська обл., Бучанський р-н, м. Буча, вул. Амосова, буд. № 4, нежитлове технічно оснащене приміщення №0018 на першому поверсі будівлі",58.1,,15.12.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Київська обл., Броварський р-н, м. Бровари, бульв. Незалежності, буд. № 15, нежитлове приміщення №72 на першому поверсі",67.4,,01.12.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Запоріжжя, бульв. Центральний, буд. 3, частина нежитлового приміщення № 328 на першому поверсі будівлі",167.0,71359423101,08.05.2024,0,Оренда,ЛАВР-2007 ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ,35300429,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Львівська обл., Стрийський р-н, м. Стрий, вул. Бандери С., буд. 16, нежитлове приміщення 3",36.7,,01.11.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Львівська обл., Самбірський р-н, м. Самбір, вул. Лемківська, буд. 1 а, нежитлові приміщення 4",49.4,,01.11.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Львівська обл., Яворівський р-н, м. Яворів, вул. А. Шептицького, буд. 1/3",40.2,,01.08.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Львів, вул. Чайковського П., буд. 20",200.0,1742562046101,01.12.2023,0,Оренда,"ПРИВАТНЕ ПІДПРИЄМСТВО ""ЯРДА"" ",30823215,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Львівська обл., Дрогобицький р-н, м. Дрогобич, вул. Трускавецька, буд. 38",36.6,,01.06.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"Львівська обл., Золочівський р-н, м. Буськ, майдан Незалежності, буд. 9",24.5,35059402,30.06.2024,0,Оренда,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ФІРМА ""ПОБУТСЕРВІС"" ",23969442,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Київ, вул. Шепелєва Миколи, будівля №13, нежитлові приміщення з №1 по №9 (групи приміщень №130) на першому поверсі",82.2,,09.09.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Київ, просп. Оболонський, буд. 26, нежитлові приміщення з №1 по №3 групи приміщеннь 379а",24.1,,20.02.2023,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Київ, вул. Булгакова, буд. 15А, приміщення 2, група нежитлових приміщень в літ. ""Б""",44.8,,01.01.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Київ, просп. Лобановського Валерія, буд. 144, приміщення 2-О",51.3,,01.01.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Київ, вул. Костянтинівська/Фролівська, буд. 1/2, частина нежитлового приміщення в літ ""А""",117.8,3043,01.01.2024,0,Оренда,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТКАНИНИ""",21612641,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Київ, вул. Заньковецької, буд. №3/1, приміщення №1",90.9,,01.01.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Київ, просп. Миру, буд. 2/3, нежитлове приміщення 101 на першому поверсі",43.4,,01.04.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Київ, вул. Гончара Олеся, буд. 62, приміщення (група приміщень) 113",43.2,,08.04.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Київ, просп. Бажана Миколи, буд. 26, частина нежитлового приміщення №1 на першому поверсі",50.4,,01.04.2024,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
Нежитлова будівля,"м. Полтава, вул. Сковороди, буд. 2В, нежитлове приміщення №16",84.9,1042281853101,18.07.2022,0,Оренда,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ДКС-ІНВЕСТ""",38803568,Юридична особа,СЛУГА НАРОДУ,2024-06-30,2,2024
