Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлова будівля,"м. Кропивницький, вул. Карпи Тараса, буд. 65, приміщення (кімнати) №2 та №3",96.9,,01.08.2022,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Сумська обл., м. Охтирка, вул. Армійська, буд. 1",126.6,,15.02.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Сумська обл., м. Ромни, вул. Коржівська, буд. 121, приміщення 33",41.81,,01.07.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Сумська обл., м. Шостка, вул. Депутатська, буд. 15, частина нежитлового приміщення",8.0,,01.07.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Сумська обл., м. Шостка, вул. Депутатська, буд. 15, частина нежитлового приміщення",56.4,,01.10.2022,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Сумська обл., м. Конотоп, просп. Миру, буд. 40/1",43.5,,01.10.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Суми, пров. 9 Травня, буд. 4",171.5,,05.01.2022,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Львів, вул. Чайковського П., буд. 20",57.8,,01.12.2020,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Львівська обл., Золочівський р-н, м. Буськ, майдан Незалежності, буд. 9",24.5,,01.07.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Львівська обл., м. Дрогобич, вул. Трускавецька, буд. 38",36.6,,01.07.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Львівська обл., Яворівський р-н, м. Яворів, вул. А. Шептицького, буд. 1/3",40.2,,01.07.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Львівська обл., Стрийський р-н, м. Стрий, вул. Бандери С., буд. 16, нежитлове приміщення 3",36.7,,01.11.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Львівська обл., Самбірський р-н, м. Самбір, вул. Лемківська, буд. 1 а, нежитлові приміщення 4",49.4,,01.11.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Хмельницька обл., м. Шепетівка, вул. Героїв Небесної Сотні, буд. 55, нежитлове приміщення на першому поверсі",37.2,,16.06.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Хмельницький, вул. Проскурівського підпілля, буд. 63, частина другого поверху",125.0,,01.11.2021,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Хмельницький, вул. Подільська, буд. 109, частина другого поверху",15.0,,01.11.2022,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Черкаси, бульв. Шевченка, буд. 150, частина приміщень першого поверху та приміщення антресольного поверху з 111-5 до №111-7, А-6-7",26.83,,01.01.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Черкаси, бульв. Шевченка, буд. 150, частина приміщень першого поверху",50.05,,01.12.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"Черкаська обл., Звенигородський р-н, м. Звенигородка, вул. Шевченка, буд. 6",44.1,,01.09.2021,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Чернігів, просп. Перемоги, буд. 95Б, приміщення 1-208",7.6,,06.07.2022,0,Оренда,,,Юридична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Чернігів, вул. Хлібопекарська, буд. 16",74.8,,26.12.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
Нежитлова будівля,"м. Чернігів, вул. Хлібопекарська, буд. 16",74.8,,26.12.2022,0,Оренда,,,Фізична особа,СЛУГА НАРОДУ,2022-12-31,4,2022
