Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція MS Windows 10 Home 64-bit Russ,"м. Київ, вул. Волоська, буд. 6/14",2017-11-21,21847,обтяження відсутнє,,,,"20936,71",Опозиційний блок,Київська міська організація,37311846,Київ,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмне забезпечення ""1С:Бухгалтерія 8 для України""","Київська обл., Бориспільський р-н, м. Бориспіль, вул. Київський шлях, буд. 76б, к. 17 і 18",2017-10-25,3300,обтяження відсутнє,,,,3300,Опозиційний блок,Київська обласна організація,39756467,Київська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція MS Windows 10 Home 64-bit Russian 1pk DVD (5 штук),"м. Кропивницький, вул. Ельворті, буд. 7",2017-11-21,20225,обтяження відсутнє,,,,"19663,19",Опозиційний блок,Кіровоградська обласна організація,39662568,Кіровоградська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Offiсe Home and Business 2016 32/64 Russian DVD P2 (5 штук),"м. Кропивницький, вул. Ельворті, буд. 7",2017-11-21,28645,обтяження відсутнє,,,,"27849,31",Опозиційний блок,Кіровоградська обласна організація,39662568,Кіровоградська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмно продукція ""1С:Підприємство 8.Клієнтська ліцензія на 1 робоче місце""","м. Кропивницький, вул. Ельворті, буд. 7",2017-10-24,3300,обтяження відсутнє,,,,"3116,66",Опозиційний блок,Кіровоградська обласна організація,39662568,Кіровоградська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Прогрмна продукція ""1С:Підприємство""","м. Львів, вул. Зелена, буд. 149-А",2017-10-24,3300,обтяження відсутнє,,,,3300,Опозиційний блок,Львівська обласна організація,37613126,Львівська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Wsndows 10 Home 64-bit - 2 штуки,"м. Львів, вул. Зелена, буд. 149-А",2017-11-29,6242,обтяження відсутнє,,,,6242,Опозиційний блок,Львівська обласна організація,37613126,Львівська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Office Home and Business 2016 32/64 -2штуки,"м. Львів, вул. Зелена, буд. 149-А",2017-11-29,11458,обтяження відсутнє,,,,11458,Опозиційний блок,Львівська обласна організація,37613126,Львівська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8. Клієнтська ліцензія на 1 робоче місце""","м. Миколаїв, вул. Декабристів буд. 41/23А",2017-10-25,3300,обтяження відсутнє,,,,3025,Опозиційний блок,Миколаївська обласна організація,39751851,Миколаївська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Windows 10 Home 64-bit Russian 1pk DVD,"м. Миколаїв, вул. Декабристів буд. 41/23А",2017-11-21,21847,обтяження відсутнє,,,,"20936,71",Опозиційний блок,Миколаївська обласна організація,39751851,Миколаївська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""MS Office Home and Bussines 2016 32/64 Russian DVD P2""","м. Миколаїв, вул. Декабристів буд. 41/23А",2017-11-21,40103,обтяження відсутнє,,,,"38432,04",Опозиційний блок,Миколаївська обласна організація,39751851,Миколаївська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція MS Windows 10 Home 64-bit Russian 1pk DVD (7 штук),"м. Одеса, вул. Базарна, буд. 1",2017-11-21,21847,обтяження відсутнє,,,,20937,Опозиційний блок,Одеська обласна організація,39705145,Одеська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Offiсe Home and Business 2016 32/64 Russian DVD P2 (7 штук),"м. Одеса, вул. Базарна, буд. 1",2017-11-21,40103,обтяження відсутнє,,,,"38432,31",Опозиційний блок,Одеська обласна організація,39705145,Одеська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмно продукція ""1С:Підприємство 8.Клієнтська ліцензія на 1 робоче місце""","м. Одеса, вул. Базарна, буд. 1",2017-10-25,3300,обтяження відсутнє,,,,3190,Опозиційний блок,Одеська обласна організація,39705145,Одеська область,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція MS Windows 10 Home 64-bit Russian 1pk DVD (5 штук),"м. Полтава, вул. Котляревського, буд. 38/40, оф. 19",2017-11-24,15605,обтяження відсутнє,,,,"15474,96",Опозиційний блок,Полтавська обласна організація,39763762,Полтавська область,4,2017
